EID,Name,Salary
1,Suman,21202.044950159394
2,Sita,74608.10287886811
3,Suman,36247.607166619215
4,Hari,57133.97769346863
5,Suman,6879.371686229519
6,Hari,6550.2450749708505
7,Suman,23963.91714102197
8,Ram,13506.94429808792
9,Shyam,43070.72897322052
10,Shyam,76470.88172780602
11,Sita,47327.46531009664
12,Shyam,90950.92010744622
13,Hari,40550.66870896353
14,Shyam,99899.7187146394
15,Ram,66488.20524155357
16,Hari,50283.28883590264
17,Hari,70427.29135978014
18,Suman,91200.92446959103
19,Hari,65658.44434823014
20,Shyam,47914.278947683866
21,Hari,61279.23118605314
22,Sita,69393.18209076156
23,Suman,86887.40128485311
24,Sita,99947.21496097723
25,Suman,31523.479397432995
26,Hari,79206.32986751292
27,Suman,73277.04176951337
28,Hari,55435.32955206364
29,Sita,98853.37610572926
30,Ram,88731.0050542431
31,Ram,3890.161785802737
32,Hari,35103.92616607042
33,Ram,34238.464349515176
34,Shyam,58518.16813289281
35,Hari,66699.4976583592
36,Shyam,72221.95566351686
37,Hari,87661.89264797446
38,Suman,43067.2016360779
39,Hari,83143.47517357838
40,Shyam,74311.90503316051
41,Suman,21874.038482930002
42,Shyam,6014.961647378325
43,Sita,16890.661966625765
44,Sita,23322.21900779491
45,Sita,80112.7739609586
46,Hari,15481.764376544215
47,Hari,77402.42576589342
48,Suman,57058.68136810009
49,Suman,37222.284620599574
50,Hari,21733.770891285843
51,Shyam,45859.20091619639
52,Hari,68818.35916175599
53,Suman,57793.3903560777
54,Hari,43435.567418099294
55,Suman,59165.756522642376
56,Shyam,44981.67320224
57,Hari,6002.180359051746
58,Ram,59479.589532568
59,Hari,47493.13865852951
60,Ram,91941.47314309505
61,Ram,44086.52902448197
62,Sita,97651.6600917832
63,Suman,85224.01567930929
64,Shyam,85575.29983216252
65,Shyam,74894.78626461257
66,Hari,19657.902934839865
67,Sita,76083.54508244367
68,Hari,42106.21764465865
69,Suman,67390.03163036081
70,Sita,33975.424275049314
71,Suman,39368.42267255813
72,Shyam,1138.5487785219084
73,Suman,10309.04943166373
