EID,Name,Salary,Gender
1,Suman,21202.044950159398,Male
2,Sita,74608.10287886811,Female
3,Suman,36247.607166619215,Male
4,Hari,57133.97769346863,Male
5,Suman,6879.371686229519,Male
6,Hari,6550.2450749708505,Male
7,Suman,23963.91714102197,Male
8,Ram,13506.94429808792,Male
9,Shyam,43070.72897322052,Male
10,Shyam,76470.88172780602,Male
11,Sita,47327.46531009664,Female
12,Shyam,90950.92010744622,Male
13,Hari,40550.66870896353,Male
14,Shyam,99899.7187146394,Male
15,Ram,66488.20524155357,Male
16,Hari,50283.28883590264,Male
17,Hari,70427.29135978014,Male
18,Suman,91200.92446959105,Male
19,Hari,65658.44434823014,Male
20,Shyam,47914.278947683866,Male
21,Hari,61279.23118605314,Male
22,Sita,69393.18209076156,Female
23,Suman,86887.40128485311,Male
24,Sita,99947.21496097725,Female
25,Suman,31523.479397432995,Male
26,Hari,79206.32986751292,Male
27,Suman,73277.04176951337,Male
28,Hari,55435.32955206364,Male
29,Sita,98853.37610572926,Female
30,Ram,88731.0050542431,Male
31,Ram,3890.161785802737,Male
32,Hari,35103.92616607042,Male
33,Ram,34238.464349515176,Male
34,Shyam,58518.16813289281,Male
35,Hari,66699.4976583592,Male
36,Shyam,72221.95566351686,Male
37,Hari,87661.89264797446,Male
38,Suman,43067.2016360779,Male
39,Hari,83143.47517357838,Male
40,Shyam,74311.90503316051,Male
41,Suman,21874.03848293,Male
42,Shyam,6014.961647378325,Male
43,Sita,16890.661966625765,Female
44,Sita,23322.21900779491,Female
45,Sita,80112.7739609586,Female
46,Hari,15481.764376544215,Male
47,Hari,77402.42576589342,Male
48,Suman,57058.68136810009,Male
49,Suman,37222.28462059957,Male
50,Hari,21733.770891285843,Male
51,Shyam,45859.20091619639,Male
52,Hari,68818.35916175599,Male
53,Suman,57793.3903560777,Male
54,Hari,43435.567418099294,Male
55,Suman,59165.756522642376,Male
56,Shyam,44981.67320224,Male
57,Hari,6002.180359051746,Male
58,Ram,59479.589532568,Male
59,Hari,47493.13865852951,Male
60,Ram,91941.47314309503,Male
61,Ram,44086.52902448197,Male
62,Sita,97651.6600917832,Female
63,Suman,85224.01567930929,Male
64,Shyam,85575.29983216252,Male
65,Shyam,74894.78626461257,Male
66,Hari,19657.902934839865,Male
67,Sita,76083.54508244367,Female
68,Hari,42106.21764465865,Male
69,Suman,67390.03163036081,Male
70,Sita,33975.424275049314,Female
71,Suman,39368.42267255813,Male
72,Shyam,1138.5487785219084,Male
73,Suman,10309.04943166373,Male
74,Shyam,46137.21621064306,Male
75,Ram,47267.47810456891,Male
76,Ram,6825.772160831911,Male
77,Hari,61887.180289414966,Male
78,Suman,56755.697734229616,Male
79,Ram,89163.3977588316,Male
80,Suman,55676.157738418966,Male
81,Suman,95273.97757864176,Male
82,Shyam,73687.03045753826,Male
83,Hari,12307.319419210384,Male
84,Ram,20963.66668534102,Male
85,Hari,30112.978550646963,Male
86,Ram,86058.53387939713,Male
87,Suman,91617.0478903982,Male
88,Ram,62293.9474236058,Male
89,Suman,31719.582388557497,Male
90,Hari,98661.77370468673,Male
91,Suman,34469.89481028969,Male
92,Ram,6336.241923692664,Male
93,Hari,24135.42728519341,Male
94,Sita,24396.89905400655,Female
95,Ram,97791.8802068714,Male
96,Ram,22961.113773909223,Male
97,Ram,25946.689045871357,Male
98,Ram,19645.007625874943,Male
99,Hari,2501.726597741094,Male
100,Hari,75679.37341148248,Male
101,Ram,93552.34311845095,Male
102,Sita,89103.83893656,Female
103,Sita,91828.23585278953,Female
104,Suman,65932.23651166544,Male
105,Hari,60887.12665874351,Male
106,Shyam,64559.02330701121,Male
107,Suman,78408.56015675775,Male
108,Sita,53955.96164407218,Female
109,Ram,15404.57628730021,Male
110,Sita,50023.73546011185,Female
111,Shyam,66151.64433949879,Male
112,Sita,35279.50917024999,Female
113,Suman,2203.7257852480343,Male
114,Ram,5821.673804715655,Male
115,Suman,45674.461845651385,Male
116,Shyam,45626.41624878215,Male
117,Suman,41692.344326267295,Male
118,Ram,68923.93762607884,Male
119,Ram,11929.894243117722,Male
120,Suman,89325.74734855164,Male
121,Suman,35819.37919924113,Male
122,Sita,1016.7019032286116,Female
123,Shyam,5574.308663645744,Male
124,Suman,27750.91527568573,Male
125,Shyam,98708.35414866664,Male
126,Ram,75057.62828251554,Male
127,Hari,85088.1279593088,Male
128,Suman,33281.77328189136,Male
129,Suman,30274.828280187012,Male
130,Hari,56299.30067064144,Male
131,Ram,13455.758944981211,Male
132,Ram,6769.608268175053,Male
133,Suman,31613.4719274794,Male
134,Shyam,97070.749460232,Male
135,Hari,47593.28063066836,Male
136,Hari,18914.387910410624,Male
137,Sita,72782.36367584637,Female
138,Hari,49021.37509313541,Male
139,Sita,23466.61157132629,Female
140,Shyam,28092.815597181485,Male
141,Sita,14892.947300385296,Female
142,Hari,61223.6989606716,Male
143,Suman,36927.665663726286,Male
144,Hari,11064.698052287602,Male
145,Sita,54660.4793731687,Female
146,Hari,95437.27453638372,Male
147,Sita,23192.68201817788,Female
148,Shyam,65189.84391053666,Male
149,Hari,91629.59348177862,Male
150,Hari,22405.198167414364,Male
151,Shyam,84941.30453345364,Male
152,Shyam,46111.661340823615,Male
153,Ram,71306.83656146265,Male
154,Shyam,77657.16544842397,Male
155,Hari,162.40924141384116,Male
156,Hari,13962.669120119352,Male
157,Ram,48000.89257773559,Male
158,Shyam,8658.398426081281,Male
159,Sita,26947.82424628188,Female
160,Sita,83889.39170752472,Female
161,Hari,2656.916249693486,Male
162,Suman,72405.56781817625,Male
163,Shyam,85948.98869551168,Male
164,Hari,93724.68506459428,Male
165,Suman,40495.77061990671,Male
166,Sita,37627.19747521636,Female
167,Ram,10636.919764537332,Male
168,Suman,23289.81899909445,Male
169,Shyam,62960.54502032517,Male
170,Suman,81676.36981395842,Male
171,Shyam,52460.42490163564,Male
172,Shyam,75341.69721226994,Male
173,Ram,83814.73316144603,Male
174,Sita,92977.35804738395,Female
175,Hari,10670.667518720533,Male
176,Shyam,89821.35151549672,Male
177,Suman,98076.04050220289,Male
178,Suman,18091.141563798807,Male
179,Sita,90099.40652469684,Female
180,Sita,15266.929959870336,Female
181,Suman,26995.280155816592,Male
182,Suman,68404.16685149616,Male
183,Shyam,68847.54645925439,Male
184,Ram,36120.85175857061,Male
185,Suman,5548.379783524926,Male
186,Shyam,92687.15175669696,Male
187,Ram,15640.556018084928,Male
188,Sita,36144.41128022755,Female
189,Sita,37443.47172057636,Female
190,Ram,48248.52572243581,Male
191,Hari,67590.7985598677,Male
192,Shyam,27772.329339274314,Male
193,Ram,68964.94371969569,Male
194,Sita,13418.80464066436,Female
195,Hari,92404.88101451438,Male
196,Hari,28274.65988788841,Male
197,Hari,8074.474554669264,Male
198,Suman,668.1803450091172,Male
199,Ram,68005.29562198016,Male
200,Ram,59352.60094848506,Male
201,Hari,17084.923835261347,Male
202,Shyam,47336.79216174598,Male
203,Shyam,43624.10605132989,Male
204,Suman,52097.92838719152,Male
205,Suman,68225.63920508545,Male
206,Sita,44936.42265271013,Female
207,Ram,96474.70220427652,Male
208,Hari,12145.874350561837,Male
209,Ram,70873.65153167567,Male
210,Ram,60876.804387434015,Male
211,Suman,80790.27413390746,Male
212,Sita,26484.279767181582,Female
213,Hari,24411.98617526308,Male
214,Sita,39683.98004648584,Female
215,Shyam,19754.233246462594,Male
216,Sita,31416.727818088297,Female
217,Hari,92215.4098238874,Male
218,Shyam,24366.41089973456,Male
219,Hari,63371.00597896406,Male
220,Ram,46438.88858043458,Male
221,Sita,20361.646108751265,Female
222,Sita,32476.902942073804,Female
223,Shyam,71383.30205248308,Male
224,Sita,38117.023973985786,Female
225,Shyam,48798.96627822619,Male
226,Ram,7243.975705508698,Male
227,Sita,91837.29799746526,Female
228,Ram,93402.14807806864,Male
229,Sita,50651.31784389537,Female
230,Hari,37417.878120649184,Male
231,Hari,6558.012853949935,Male
232,Sita,8405.25630935125,Female
233,Sita,28874.710125702757,Female
234,Suman,97399.37913796862,Male
235,Hari,12502.259196094768,Male
236,Hari,90431.913769736,Male
237,Shyam,82997.90391438732,Male
238,Shyam,72554.7386350914,Male
239,Sita,66338.71103070209,Female
240,Hari,47166.22947436443,Male
241,Ram,1378.5866104408794,Male
242,Sita,36762.13487586212,Female
243,Hari,47291.91990224404,Male
244,Suman,3532.291856344438,Male
245,Suman,97347.68511842478,Male
246,Suman,17939.406181820395,Male
247,Ram,62251.866596909735,Male
248,Suman,29747.92987438354,Male
249,Hari,14114.84927299449,Male
250,Shyam,62895.95518721898,Male
251,Hari,85206.29918815587,Male
252,Shyam,5211.505537397409,Male
253,Ram,30560.45684704604,Male
254,Sita,33510.05189267289,Female
255,Ram,42568.00350202198,Male
256,Hari,82824.26737024069,Male
257,Suman,6355.562085974131,Male
258,Shyam,71500.42632840156,Male
259,Shyam,58709.05286610015,Male
260,Suman,33405.82321419952,Male
261,Hari,86336.48477153454,Male
262,Hari,32972.09955070446,Male
263,Ram,38504.60630258816,Male
264,Shyam,12115.39172301328,Male
265,Shyam,48020.90532018995,Male
266,Ram,38523.0966062273,Male
267,Sita,20055.19144250524,Female
268,Shyam,91019.00327257771,Male
269,Shyam,41659.136457559376,Male
270,Sita,30402.63196381624,Female
271,Sita,29976.433734536346,Female
272,Sita,52051.72481908551,Female
273,Hari,28567.975089100077,Male
274,Ram,28052.52121036045,Male
275,Ram,19874.275023864557,Male
276,Ram,62953.56033123415,Male
277,Sita,18993.6209475126,Female
278,Suman,547.0322154080498,Male
279,Ram,68249.31015592768,Male
280,Ram,64820.38390683664,Male
281,Hari,64317.80503929855,Male
282,Shyam,42047.36025900456,Male
283,Hari,26484.7769922523,Male
284,Shyam,97140.75791288009,Male
